,uid,iid,rating,ts
6450,733,1450,5,879338569
75184,269,1215,4,886555584
31052,982,1464,3,880499247
52724,173,1353,3,892525526
59374,111,1566,4,880547818
34176,819,1378,1,879329984
77472,114,1109,3,876399935
56871,146,1445,1,883181022
19650,855,1320,3,885925869
44866,870,425,5,876620458
8502,632,1264,3,890151732
63392,913,1651,5,880244734
14734,689,1058,4,884733993
81572,175,1573,3,881123782
58031,736,958,2,886490748
37742,407,1008,3,886561894
56170,242,1171,4,882347779
55082,382,885,4,891677722
20897,528,609,4,876350974
23189,584,855,4,877065531
9307,652,1424,3,886891626
69868,183,1411,2,875183959
33994,732,1688,4,875678286
27312,872,1674,4,880337202
85061,167,1124,3,875592773
14377,779,1696,3,875613632
5296,639,1425,4,879808864
62841,545,1507,4,879479756
62118,110,857,3,883284820
40113,984,1602,5,878086277
59640,114,1553,5,876401398
1022,703,1126,1,875607262
55906,284,1174,5,880163439
33411,779,1418,4,875612728
63387,603,1035,3,885717518
34537,902,1272,5,880867004
41574,325,1394,5,889856657
26062,614,1583,5,878023198
56727,149,1295,5,875135720
78470,110,1220,5,882771647
19688,536,1218,5,878723428
68617,959,1548,4,891055496
28078,848,906,5,886903943
15791,565,1025,3,884501043
45334,266,1534,3,891391019
63080,443,1408,4,880853189
27610,528,581,5,876351193
2632,689,1662,3,884734124
17254,869,1415,5,884049893
75523,207,335,2,875472888
44436,360,1016,4,875146738
64060,267,585,3,879903508
80944,305,1372,3,889174226
52188,210,1671,2,885526252
21868,604,1400,3,885013720
20092,756,1500,5,880974868
82785,170,1273,5,891830701
30650,806,1566,2,879889889
48883,535,1546,2,883900289
72775,256,1221,5,881539652
64740,460,1103,4,882525418
72610,799,1584,1,884480970
85107,129,1341,3,888560913
38327,500,1169,3,884242081
10001,940,1484,4,883695997
50381,944,968,4,893045317
78788,432,965,2,878275497
74390,345,786,3,892185641
26033,522,1350,1,889755588
28131,915,1090,3,879822752
3734,703,1644,5,875607592
29384,657,1642,4,876774453
14652,608,558,5,891406354
51596,447,1510,5,880317421
2746,692,1068,3,888106227
44296,399,880,1,876716486
19359,849,1252,2,879896949
79780,318,1459,4,888890711
26553,950,1424,2,877420570
26343,608,1430,4,891405607
31541,903,1292,5,884606822
52141,254,1543,4,885443760
20407,510,1691,4,875796935
60922,345,801,2,887801662
47566,714,1360,4,880149075
36037,607,1427,3,890095938
50799,284,971,2,880163545
49811,211,1225,5,880700233
54814,255,1220,3,880491531
50448,340,289,2,891569464
32867,494,749,3,875243232
22191,593,1482,4,876707116
77534,160,1505,5,891573017
4899,656,1103,2,885268624
1114,997,1369,4,889605625
24497,965,1022,3,875827187
2771,731,1491,4,891817065
85028,118,1506,3,880247838
73212,108,1204,5,886977605
78019,146,1497,4,883182103
1092,679,1569,4,879808053
57551,888,1354,5,891676150
49666,273,1499,4,884078887
74291,120,1384,5,893326298
40798,570,1382,5,877594300
48464,908,626,3,876275705
73508,64,1447,5,887200624
23978,736,1186,5,886491529
52276,957,1442,5,876343198
46588,565,639,3,884502924
32884,654,1646,4,875317387
17908,826,978,4,886882066
14410,560,1010,4,891914868
78920,408,1402,5,882976231
7986,840,1668,5,877227583
19817,730,1154,4,877322654
62494,293,1251,2,886656858
14847,646,1217,4,891585468
74520,154,1674,4,884317505
4720,635,683,4,891672383
72668,705,1491,5,879886403
8471,987,1309,3,882766425
25025,724,741,4,875159865
816,958,701,4,881477152
28674,464,1631,5,882728108
36266,870,805,5,884991969
82103,64,1680,5,887201965
28686,521,1068,5,879828955
55453,252,1521,4,879822898
56466,273,1042,5,884079890
13347,571,1189,5,882753712
542,785,1506,4,891804320
74118,571,599,5,882753569
41506,890,1612,4,887357137
30077,938,568,2,879741574
60416,786,1343,5,893036300
84373,242,950,2,883886191
72702,458,1606,3,886901191
39936,995,1302,2,876004337
12105,583,1553,4,880014395
11452,684,1170,2,881221769
82708,375,1400,3,891630731
17714,861,1404,4,879906388
13189,778,281,1,878553117
7397,894,1415,4,884244376
46223,729,580,2,886215970
24353,467,751,4,879807689
12536,753,1699,4,893465194
43975,346,1644,4,888232584
34503,508,777,5,880338048
51709,334,1211,4,880682364
77375,119,1592,3,879420572
605,725,634,3,880681849
32159,757,1006,4,880356432
6465,666,1455,2,891912537
73909,546,758,2,888635368
47975,978,1539,4,879256095
44014,392,1487,4,880772863
53756,229,1425,5,881027562
64173,225,1371,3,891401241
3468,732,1559,3,876113002
15823,571,275,3,882755803
83145,701,1489,4,878249131
28745,537,1338,1,890311911
5088,751,1367,4,879939691
56778,345,1404,4,888843104
6828,785,1490,4,891804402
32608,450,854,2,883794289
78821,833,1026,2,893106554
22169,601,469,3,882718657
34949,475,1675,5,881454087
13497,703,1517,4,875607154
43887,399,1549,3,876715100
53674,548,1655,4,875633616
59641,564,1628,5,888138863
15717,681,820,4,890184502
1345,757,1571,2,880355696
39021,368,1603,4,879827026
83880,385,1547,4,879817300
45050,906,772,3,892091944
80706,637,1444,3,891867712
49001,878,532,4,879639072
72087,558,1611,4,883758586
58425,394,1697,5,881290254
29980,638,1378,3,885387821
13639,602,1424,4,876020930
52255,789,1425,2,879828266
33371,476,244,3,885003201
18813,709,939,3,875203084
55005,366,778,4,876097083
78445,172,1153,2,891404034
73466,141,1165,5,886143037
76497,731,1568,5,891817315
37517,931,1693,5,882494256
8702,694,1687,4,876872612
39009,595,670,1,885915775
58807,972,1471,2,882329563
19998,537,1600,4,877753407
53507,243,490,2,888835357
43502,563,1204,4,880508832
58163,546,1583,3,888635513
75234,169,1346,4,891722233
33313,384,1400,4,891592814
45806,251,1301,3,879217603
22645,514,706,3,880242981
29888,434,468,2,882019296
8263,915,1489,5,879822175
16950,595,1159,1,885916332
12292,732,772,1,876113706
73268,463,1503,4,886399061
31777,601,772,2,882709756
24298,823,1524,4,880499121
56398,453,1397,3,891650885
41420,790,1257,4,888105657
4380,677,1678,5,879107913
72023,123,1503,4,883045997
5849,699,1540,2,882445454
66427,66,1498,5,891561302
82073,288,1660,5,875325126
25129,910,1273,5,891752593
58122,986,1193,4,891249691
63944,194,626,3,882758685
50488,400,1604,5,888819834
33152,985,1010,4,879823298
64777,232,885,3,880504133
13102,717,1605,5,879666135
84750,595,1359,1,885918074
846,876,1084,4,890655815
70285,81,959,3,875656975
31821,697,1287,2,879911694
30768,637,895,4,891865375
69955,496,1071,4,888209306
64983,245,1411,1,882938082
70862,323,1457,3,889767283
57107,132,1138,2,877480610
18808,562,1431,4,880236130
27636,943,952,4,884064799
19014,520,1510,5,891576435
33889,474,781,3,886050570
38634,476,855,5,884691596
47575,234,1249,2,891678994
21243,891,965,5,880946159
72110,385,1509,5,879816929
37284,777,1443,4,891918175
1256,852,1523,2,877388885
18229,777,691,1,891917645
28699,944,1589,2,893052047
7021,679,1565,4,879807933
56011,212,1482,4,881239498
51689,345,1398,4,887792890
22499,537,1573,5,890898275
79179,546,1089,2,888634855
36028,666,1147,1,891917036
46722,412,1042,5,890393921
73124,753,1630,5,893465194
50307,533,1690,4,879900666
9185,754,1230,4,885291134
68864,438,1515,5,879564245
31805,540,1407,4,883279773
41571,347,733,2,880521293
39387,377,1466,4,891402513
53840,953,1378,2,879807248
48320,733,1202,5,879340072
76284,197,1017,1,880423055
4302,833,1002,4,893106477
77622,543,1172,5,882765713
59419,565,772,3,884502357
48572,404,1687,2,883907572
71184,68,1272,4,891619275
73354,212,1501,5,881236843
82325,212,890,3,881238943
32098,607,879,3,889922926
55020,974,1448,3,891753739
82811,253,1267,3,889101557
33915,875,1180,5,893204479
71070,195,894,4,882066345
50863,251,1505,5,879216809
19568,595,460,1,885917362
43428,318,958,3,888887908
26157,763,1691,4,879744900
21829,677,1514,4,879108158
8054,658,1511,5,875688137
74683,226,1190,2,888924654
19840,536,1342,3,878722850
37777,673,1018,3,888105799
42499,414,1028,2,884429254
12422,982,1476,5,880498909
22652,756,1485,4,880971412
23566,619,1417,5,893065825
59357,149,1410,4,875096600
42030,486,1227,3,875830690
72079,251,732,3,879218356
29347,505,581,4,889002954
43580,468,1472,5,893486882
51322,195,1379,3,882073462
12263,583,656,3,880017109
10624,701,922,4,889870858
82415,345,1384,4,890346513
61479,913,896,3,880245253
8214,724,1280,4,875161115
23657,715,1398,5,890963483
63048,376,1400,4,880160302
58569,273,971,2,884079890
80687,941,754,1,888574615
17419,732,224,2,876882067
40514,504,1647,3,876438825
3565,948,1584,4,883290498
72805,309,1028,1,875911323
72711,73,1400,5,879544326
80132,293,679,3,886655249
59321,778,1125,3,881428720
62680,288,1560,4,875325310
51776,284,1275,5,880164449
59648,400,1021,2,888820009
44015,550,1268,4,882746031
35642,564,1132,5,888137586
64575,67,1253,2,875222848
58677,640,1179,5,880724015
16080,721,1084,3,890819578
14083,986,1223,4,879487481
14322,909,952,2,891806484
32848,526,1613,4,888294086
35773,749,1655,5,886640025
40807,473,1491,4,879824575
1507,819,307,1,879329879
83965,62,684,3,891724969
54015,165,1307,5,891401888
18647,709,1691,5,875173974
37782,688,1210,5,892067825
51996,273,1158,2,884081163
49722,806,1611,3,879889498
27041,952,1517,5,879802778
51477,444,1513,5,882504566
34939,536,1402,4,878723231
394,822,1579,5,883192461
39785,526,1096,4,888294229
33622,771,1412,4,892001198
71996,556,1428,5,892346807
9103,931,1600,5,882441062
38119,458,1573,5,886900464
84676,251,666,2,879218826
69197,185,1265,4,879062439
23649,989,1631,3,892272440
71460,827,1371,4,877925515
17078,714,1307,4,877902651
47711,936,1573,5,879734384
36896,448,1426,3,879590332
66996,379,1527,4,875333577
77416,848,756,4,882844802
43023,339,1277,4,876384896
57771,543,1307,3,882916753
31470,551,1456,4,880327322
39774,360,684,3,886842708
64402,67,1513,4,875222464
63300,162,1494,4,887435190
47246,439,1543,4,886176223
73600,684,1118,5,881222709
14307,940,1195,4,883694880
5321,806,1250,1,879923171
54854,687,1553,4,891384753
57631,336,1381,4,876891303
83775,479,1484,2,885621417
4053,928,1519,1,880405373
8152,653,1461,5,882022761
42460,935,1224,3,879585460
19238,882,1025,5,875753556
12212,909,1084,4,891807609
73882,611,972,3,880457472
81456,565,922,4,884500014
19584,721,1040,4,875681643
82902,122,1686,5,881234035
60748,497,1423,4,879806750
31977,546,1505,4,888634980
81925,467,1523,4,879559470
3579,819,316,1,879330222
27539,884,1442,4,876820081
83466,57,1091,2,889007872
79398,126,1395,4,889000227
2870,984,1678,5,878089241
6686,923,1526,5,885101757
85194,532,1676,3,875648632
24999,545,563,3,879478051
49109,342,1271,4,875515970
27921,584,925,4,893510415
75855,459,1307,3,884233863
63013,685,1397,4,880167472
27437,565,1343,4,884499941
12225,766,1151,3,892704020
16220,692,1474,3,888109003
37922,365,952,2,879247008
45022,342,1571,3,875513920
43819,676,1289,5,880943759
14242,807,1600,5,889492297
11607,855,1484,5,875640864
52997,234,1318,3,891678451
56042,439,1485,3,886178042
31619,774,1603,3,884257525
83505,311,983,3,877044529
66033,715,1381,3,890963693
64320,413,1342,3,893239454
71882,242,1546,5,882343437
71970,548,1501,5,886184938
49369,467,1470,4,879559733
29546,816,1006,5,890276994
81224,98,1454,1,879833243
29639,551,1290,3,880327304
53315,195,1036,5,882065837
32025,502,1639,4,882325601
19093,819,887,2,879330449
7552,626,1273,3,880764218
62555,245,1436,2,882938247
30732,881,1241,4,887406881
77990,492,1173,5,884143531
46410,626,482,2,881659596
53082,555,860,1,891568490
44090,513,953,4,883899636
79800,102,1457,1,888662877
36111,856,1652,5,888473367
5308,988,1504,5,880327723
20781,524,1496,4,883732495
3931,680,1289,3,885117289
14691,885,748,5,881539168
74149,273,921,2,884080887
4589,677,1550,4,879107738
36586,358,1232,3,886936649
84999,160,729,4,891577619
59978,153,1582,3,879144152
15234,563,1503,5,880510132
40552,934,937,4,883970264
10201,908,1237,4,876024793
33958,837,1400,3,891588147
36518,362,1290,4,877063944
37672,501,1573,4,885966482
25922,979,1439,1,875319176
59840,399,1295,1,876715935
59208,352,1216,5,884736612
83534,366,1607,5,877386295
71574,398,820,4,889006095
56182,657,1546,5,876774722
57140,140,1417,4,886359168
70772,522,754,2,889765087
78525,101,1579,5,884488334
39308,954,1600,4,883984304
828,995,1316,3,876004559
53116,301,1475,3,879250303
78178,114,1015,2,876400548
41956,622,665,3,880701081
33324,496,977,4,888279066
23993,613,932,1,886851790
45499,346,1412,3,888231234
84374,239,1417,4,876558330
82503,721,846,1,875674783
11772,697,1474,4,879835465
61500,210,1683,2,885525569
21107,882,781,5,875753556
56661,429,1043,4,883723162
78928,177,1075,4,878806977
15106,646,1566,4,891585468
56325,842,1189,5,880502466
26871,527,1693,2,878525499
7575,928,1344,4,880405081
14626,867,1396,3,890956809
64369,747,1210,5,891996544
44033,443,1366,4,881547532
62757,152,1272,5,887415979
11345,870,900,4,876170407
27143,449,1687,1,893151581
46705,603,1528,5,885718551
72400,346,1103,4,888232982
31402,486,950,4,885548797
34735,490,1022,4,888035950
79290,161,887,4,876120252
61089,454,1387,2,885507750
72487,440,1676,2,880344942
11937,766,1502,3,892447007
15837,675,1174,3,891846409
65304,113,227,1,881747692
56694,228,1387,5,889396533
38762,948,959,4,883290472
30831,577,1011,4,891763190
65058,392,1496,4,880773697
66082,819,1367,3,879329397
37882,350,992,3,891751526
14726,842,1265,5,880502577
74759,194,1478,4,882753733
50785,915,1527,3,879822215
60431,394,1527,5,881293029
60215,360,1204,4,875145661
71904,259,1527,2,891386536
27629,544,1599,3,881743454
76596,67,1229,3,875222781
84129,350,1115,1,891756149
59912,308,1532,2,877321374
74418,104,1004,1,887603197
35242,639,1614,4,879809111
14252,637,1531,5,891862733
79366,663,1633,4,875604801
17467,678,1550,4,887682197
64825,575,1688,5,879105961
14219,594,1304,3,880161144
20429,868,1644,5,891647166
54550,287,1387,3,889250349
39341,608,1218,5,891407115
52782,486,653,3,876432131
58675,643,768,4,879320511
37232,884,952,2,876820356
70471,84,1273,4,881212824
80660,350,1627,3,891755712
39088,399,1509,4,876718186
55396,262,1470,4,875719700
81302,288,1406,4,876619500
71369,675,1084,4,891846094
8970,799,1460,3,884482239
45123,301,1442,5,883647014
82747,779,963,4,875761516
7520,802,1459,3,884577434
4668,941,653,2,888571541
15001,611,1671,2,880456829
27420,736,1414,2,886489861
73753,375,1609,4,891631227
62750,323,720,2,889767640
71691,100,1412,2,878200283
44545,828,1275,1,875904761
7748,627,1343,4,877466738
55207,345,427,2,889352556
41864,447,1565,4,880317166
41548,754,1519,5,885289148
35268,494,1560,3,875241497
59171,501,1214,3,885967768
44952,588,1518,4,880085153
35991,819,856,1,879330986
51777,764,1426,1,890485243
19285,514,854,2,880243324
43941,361,1426,1,891608665
24180,744,885,5,882519913
82167,555,1357,1,891567555
10241,958,866,1,881478933
22020,564,1604,4,888137705
69513,153,1484,3,879308526
15587,999,1486,4,875440690
61324,145,1640,3,880193698
51618,733,1217,5,879339633
50520,666,1528,3,891917124
33834,699,1558,3,882446590
616,891,1505,5,880946208
16479,710,958,2,880843480
48682,276,524,1,884125567
12610,979,1381,2,875319059
30921,653,1156,4,882021032
17366,702,1189,4,884495860
8880,915,1466,4,883363185
62716,946,1455,4,881297908
49009,299,950,5,891814758
57425,138,689,5,879671293
52672,491,1374,4,883959213
57483,375,1414,4,891630731
50622,337,1650,5,889861672
59627,119,576,4,876906797
84122,120,1669,4,880611799
12495,595,1125,5,885915727
61744,240,1496,4,876036275
20175,982,1655,5,880498909
39842,395,1509,5,879794382
69479,306,1582,4,876098153
22259,571,1151,4,882753919
77852,132,191,1,877479657
38886,596,1390,4,884158920
1494,893,1395,4,891632497
19218,548,1091,4,875930544
20001,582,1385,2,891650691
10527,882,1482,5,875753556
43526,463,1408,2,886397286
21374,766,1547,3,892702000
29816,507,1602,4,884499630
74017,57,1277,3,889007401
49695,577,776,4,891763772
43784,295,1435,5,883796324
75308,413,1393,4,893239162
63170,169,1650,5,891723070
27210,720,493,4,892070168
40090,511,1375,5,891813609
8064,883,958,4,880494192
34054,432,1694,3,878275405
28121,908,486,2,876543095
80970,284,1472,4,880163040
688,695,1021,3,886692962
21964,601,665,3,882720235
46412,993,1094,3,891721074
62526,155,306,4,885777889
75774,799,1110,1,884482983
54134,366,1699,3,876097042
53127,306,1307,3,876097122
61445,500,1455,2,884233032
36439,467,1387,5,884375507
32020,910,1212,5,891752235
46357,382,1524,4,891675596
34934,694,1414,4,876871963
54081,672,1038,3,885415763
15548,703,1265,3,875606896
6505,654,1628,3,875319884
33167,474,1024,5,886050540
79843,154,1524,4,884315864
12304,749,1273,4,886639845
13662,906,1150,1,892091203
80125,204,1672,3,893030693
32460,446,1289,3,876600056
1656,972,805,4,883194568
60297,334,834,2,880681752
71676,222,1646,2,891172029
75577,908,1299,3,876275705
25342,565,1662,2,884501679
79733,491,1372,1,883958970
5194,699,1289,1,882443037
81628,311,1519,5,877043031
39622,472,1522,4,886469865
51527,491,1355,1,883958285
50074,449,926,5,893151484
1635,778,1199,2,881428501
16704,610,1372,4,880061847
20724,519,1490,4,886196335
81772,210,1123,2,885526292
33992,558,1005,5,883756105
71436,578,841,3,880112388
214,822,1445,4,883192171
60202,117,1631,2,892085526
80649,890,1049,4,887356188
40676,779,1124,3,875614994
34193,455,1631,4,884502076
6909,709,1628,4,875454260
84022,407,1556,4,876028739
20513,605,1358,4,884130584
46306,366,836,3,877736645
3284,901,581,4,886048518
14843,910,1617,5,891751857
57321,269,1222,4,886550725
82968,114,690,5,876400273
28001,620,1561,1,885848584
32524,822,1387,5,885204592
21006,615,1026,3,879815420
61126,345,432,3,893282527
48478,542,1427,4,886762900
73389,578,1482,4,880112256
40142,335,1224,4,884659303
80052,465,637,4,879986783
2055,906,1601,3,892089985
22200,848,1631,5,882842170
17945,856,1176,5,888473251
13643,987,1323,1,882767389
78805,136,1425,4,878547615
20631,982,1381,4,880497475
68405,196,1672,4,879814074
45974,373,971,1,879898770
76528,580,845,5,891725191
24067,486,1653,4,875830815
58100,347,1409,4,879223445
77544,345,773,3,887932783
67031,372,404,5,881145266
27198,546,593,4,888635787
35541,670,1532,3,876914609
53296,290,1382,4,882431880
38305,407,1249,3,876041169
42739,367,1049,3,877580453
34542,693,1069,3,879651714
9020,859,1224,3,884953668
52809,622,1699,4,880412421
53324,276,1339,1,884126411
31493,482,1464,3,877191767
21612,657,914,4,876774351
13741,979,1406,3,875319786
64140,167,1380,4,875492817
6482,915,1425,3,879822751
18886,549,1457,4,879380680
28021,819,445,1,879330256
59402,618,1218,5,876315115
43538,339,1199,4,876404360
11053,816,1584,4,890278651
74470,252,1563,3,879823128
8631,987,794,3,892117935
37243,360,1461,5,875146444
25548,873,1638,5,884733120
518,689,1627,4,884734357
32272,654,1151,4,875319136
24557,673,1014,4,888188463
77552,714,1292,4,876174970
26754,502,1162,1,882331158
74076,477,1633,4,884070824
66150,289,1503,4,880361280
71058,449,1491,5,893145293
72163,768,1406,2,880430429
12082,806,1617,3,879889424
14667,583,975,4,881321140
60427,149,1387,4,883516797
33418,372,1430,5,881145151
33974,956,1489,4,878715768
30161,908,1463,4,876008488
1431,687,731,4,891383557
20603,987,1387,4,883142217
16396,578,1321,2,880112388
21221,565,1514,4,884500537
72949,101,990,3,884490789
48533,361,1052,3,891607661
77459,751,1273,5,879940642
54891,496,1489,4,888205909
45956,822,1621,4,883194476
27781,891,1287,3,880940552
1300,707,1543,5,889273949
18172,849,1217,5,879892414
42153,306,1281,4,876098077
47504,626,1689,4,880763372
66227,104,1484,5,887527828
23167,977,1600,5,875152727
82522,107,724,1,875197151
82056,376,1360,3,880160054
48468,757,1675,3,880356045
83765,439,1212,4,886175460
20956,565,1627,3,884500573
34901,482,1580,3,877192388
53359,471,1442,4,882903261
54171,243,1435,3,888834784
63197,167,970,4,875407058
51467,467,829,2,879560900
48227,601,1568,3,882711497
59803,120,409,3,880543638
41537,571,1498,4,882753999
45362,510,1454,2,875795982
54611,178,609,1,891406797
28092,532,1118,3,875655705
31517,603,1427,4,890128973
79242,67,1489,4,875222421
36791,507,1583,5,884498586
36440,364,1104,5,891817382
34829,732,472,1,876112527
64076,398,1342,4,889006135
64192,137,802,1,889657143
23434,499,1675,3,883715943
11993,661,1231,5,891400803
26680,713,1579,4,875702664
63532,109,766,3,883857976
12904,944,1249,3,893045140
7020,908,1119,4,876022359
84982,340,1519,4,891566168
675,669,1693,4,877564803
81165,361,1507,3,891607347
52130,195,1253,4,882063463
62185,95,1442,3,885350976
58957,709,927,3,875202997
69172,563,1094,4,880509148
25950,584,1688,5,893580742
64454,247,1406,5,891767907
53186,342,1046,4,875516229
70912,108,1297,3,886978542
46526,668,1662,2,888728658
2946,870,1471,4,876170343
28467,826,479,5,886882568
11079,777,944,3,891918465
79004,471,1399,4,882903809
6511,807,1526,4,889493890
8638,688,1257,4,892067121
9137,627,971,4,877467433
80291,111,1014,3,880548782
21671,825,1466,5,877476185
65359,546,1068,3,882328315
13150,756,774,2,880977363
50376,481,1387,5,883616304
55204,427,1518,4,886212062
30744,475,1288,2,881454927
57849,479,1623,3,885622508
62488,93,1015,5,880527130
58592,237,1190,4,879283729
46559,693,1522,3,877487146
80079,666,1570,4,891913488
79128,167,1473,2,880186789
732,709,1376,1,875173623
32410,977,1515,4,875153926
73029,160,1195,5,891572884
32467,386,1413,3,879832626
23199,787,1196,5,879324055
42633,335,1273,5,884661479
29961,615,1489,3,879814353
76286,81,1372,2,875656474
23323,667,1187,4,891413666
16714,682,1558,4,884864389
14759,732,1578,2,876111480
58991,242,648,5,882423667
78994,128,880,3,888847794
73,766,1215,3,892447604
50219,848,1545,5,884386560
82423,80,1401,2,884588333
49960,583,1287,3,880014497
18803,677,1225,3,879107563
35455,692,1022,3,888104578
25384,551,1424,5,880326875
83680,563,1548,4,880509299
85578,439,1174,3,886176966
35224,622,1427,4,880412391
79436,198,1412,3,876352807
52772,252,1046,4,879823168
1981,872,1283,4,880336617
66095,125,278,3,876833444
57628,265,1415,4,877067067
65047,149,1399,3,890711571
1245,987,1606,3,882510227
78864,148,1441,4,891404584
16433,674,1652,3,880243703
30255,497,1680,5,879806455
47768,235,1463,3,880714967
64324,766,625,3,892703967
17815,637,1256,4,891868576
29877,615,1257,3,879813268
50633,584,945,4,893582503
24833,817,1474,3,891834520
83178,103,1565,3,880359013
12441,656,1487,4,885269521
80415,102,1366,3,888662909
10109,987,1430,4,881883046
83432,290,1636,4,882431936
23743,547,1273,3,877922344
84250,202,657,3,876283449
36222,357,599,3,891816172
69890,637,1524,4,891863279
9278,601,386,3,882717368
5165,784,1482,4,880603103
45500,371,1685,5,880485889
82903,379,1516,3,875332437
74833,276,1442,4,884125707
70094,401,422,5,881320355
36403,461,1219,4,880156742
25060,545,1669,4,879480107
83153,446,983,3,876600723
37301,666,1557,2,891916817
63646,243,954,3,888836605
10657,815,1614,5,883892598
1751,689,1216,4,884734760
19700,711,1446,1,877158904
59790,208,869,2,878278836
33325,721,831,1,892544643
52641,550,1052,5,888028673
4174,784,1605,3,881796535
60335,111,1627,3,880549833
85095,622,1131,3,880424906
31232,790,744,3,888105070
30472,503,1661,3,879679083
29024,701,1217,5,878249131
81823,340,1582,2,891566649
77736,885,1515,5,881539579
19806,906,1299,4,892090848
43713,440,1563,4,880344597
69440,137,266,2,889657788
68743,720,1308,5,892069498
56667,495,1096,5,889701768
48837,321,1627,4,884856206
6729,648,1484,4,884658560
19836,673,1678,4,888112337
28863,860,1398,4,879381787
20281,532,1406,3,875647323
65499,289,1428,5,884853968
27140,449,1148,3,893152429
32235,766,1432,2,891401431
85653,205,1638,4,883622734
15486,814,1401,3,880089132
76883,161,1579,3,876120407
67765,243,1467,3,888835208
25587,754,1623,2,885290009
71663,104,566,3,887528120
78541,212,1588,3,881239343
68872,814,1688,1,879391630
67931,423,1604,4,880842427
36634,389,1397,3,892004243
13450,695,1150,3,886693193
28956,826,1283,4,886883660
80120,117,1676,4,892060827
52539,243,1151,5,888836710
67806,244,1455,3,875200266
34376,762,1399,3,883944025
62926,106,1419,3,880784272
33876,607,1134,3,888113887
66148,993,1521,5,891720473
20936,558,1358,2,883756317
59354,400,1315,3,888819752
44922,403,166,1,875709928
8663,950,1577,4,877421128
84602,126,1518,4,889001481
44948,768,551,5,888917844
18489,745,869,4,883585072
25137,943,1676,3,884065629
39675,318,1485,4,888885367
49148,399,1593,4,876715283
32061,546,1281,4,882328087
32713,601,962,4,882718753
11925,745,1482,3,883584714
46761,819,598,1,879331551
53909,510,781,4,875796935
56130,306,1116,4,876096047
71730,855,958,4,875638786
79348,358,731,2,885971832
61953,172,103,3,891405983
6858,819,315,1,879330221
84970,232,1080,2,880504580
6642,767,1046,4,878033361
33376,756,1650,5,880972549
18941,730,1650,5,877322174
35276,697,1321,4,879853716
70384,470,1257,4,884159113
44406,314,1112,4,879914667
7322,989,1515,4,892273953
75226,661,1196,5,891400425
52438,291,1249,1,880217139
11917,705,1196,4,879885469
21283,985,1687,1,879824110
14651,582,1396,4,891650908
20307,738,1531,3,880160014
52830,512,1631,4,891662379
20457,702,1173,5,884550895
78017,377,1097,4,891402464
25103,607,1344,3,890099258
67910,138,1269,5,879673482
42565,494,985,2,875244656
72977,346,1579,4,888231927
47234,685,1180,4,880167696
41002,503,472,2,879730739
76722,93,1692,3,880527858
22236,532,1696,5,875665038
41706,513,1604,5,883814971
19197,736,926,2,886490616
7483,620,1113,4,885847444
58649,195,1612,2,882065046
42883,350,1431,4,891737055
45789,896,1576,2,888833396
3528,697,1467,4,879853151
26137,571,1098,5,882754798
10180,900,710,3,891743598
18370,875,1489,3,879823354
43007,318,1649,5,888885910
34992,546,1088,3,882328315
42470,987,885,4,886672104
39156,591,340,2,881474257
70221,539,1125,2,885724100
916,674,1547,4,880243921
55645,243,665,2,888837283
60594,148,859,4,891405795
34924,626,1526,5,880763700
39733,697,1199,4,879853151
72107,690,1406,1,879804882
31514,442,1192,5,879804566
66429,210,1635,4,885524016
37479,496,1314,3,888280601
18812,595,907,1,885915483
36269,382,1322,4,891677684
82258,822,1497,4,883194412
21604,736,1024,3,886491342
13510,855,1430,5,879529747
45537,666,1609,4,891915476
52580,607,665,3,890099499
44754,285,1275,4,876332825
4168,811,1419,2,893632936
20503,603,1187,5,885717885
14177,715,1186,3,890964029
76479,148,648,4,891406058
66710,615,826,3,879807145
9985,894,1678,4,881818000
78538,64,1582,3,887201686
80592,293,982,5,880428046
29411,583,1517,4,880015468
32289,849,1201,5,879892755
43650,492,1478,3,884145451
47116,463,1072,2,886398347
29430,819,723,1,879331167
29052,575,1030,3,879107084
26214,473,1493,4,879824043
83167,68,1046,5,891618047
9962,943,605,2,884066232
81519,708,911,4,881473871
15745,885,1522,5,881540416
3870,975,1245,4,886221585
55479,516,1315,4,891563586
72572,731,1530,2,891815386
31140,615,1189,4,879810051
52162,318,1689,4,888885219
57537,527,1458,3,878524994
18462,617,1428,3,891560328
10366,764,1086,5,890484505
29872,599,1699,2,891400340
58431,766,1493,2,892446775
83487,130,1636,5,890085272
54068,312,466,5,884521882
56376,513,626,1,884420010
72740,76,777,5,886695918
41941,731,1192,4,891814435
23955,709,1154,3,875174128
70089,290,1515,4,882432491
22595,697,1689,4,879835430
4172,828,1043,3,875906197
71275,769,834,3,880334131
4717,900,795,3,891743800
76623,64,1418,2,887200884
74922,254,1636,4,885443960
69368,117,1378,5,892060338
4610,778,1011,4,881426178
62760,242,654,4,882346937
20130,911,1513,5,879829416
30867,893,1377,1,891632736
78780,62,1589,5,891724912
16908,915,1492,5,880197111
15125,615,1520,4,879810876
64307,111,1545,3,880550752
38780,809,1360,4,891929012
22786,987,873,3,882766497
75888,535,1565,3,883899550
69381,169,1393,2,891722234
32361,575,1428,4,890714487
55904,528,1314,5,893159123
44575,528,653,4,876347252
33410,699,1649,4,882447098
35445,806,836,2,879907475
37537,477,1224,3,884070611
